type,n,hr,node_type
1,71,420,viruses
2,16,420,bacteria
3,91,420,spacers
1,71,421,viruses
2,16,421,bacteria
3,91,421,spacers
1,71,422,viruses
2,16,422,bacteria
3,91,422,spacers
1,71,423,viruses
2,16,423,bacteria
3,91,423,spacers
1,71,424,viruses
2,16,424,bacteria
3,91,424,spacers
1,71,425,viruses
2,16,425,bacteria
3,91,425,spacers
1,71,426,viruses
2,16,426,bacteria
3,91,426,spacers
1,71,427,viruses
2,16,427,bacteria
3,91,427,spacers
1,71,428,viruses
2,16,428,bacteria
3,91,428,spacers
1,71,429,viruses
2,16,429,bacteria
3,91,429,spacers
1,71,430,viruses
2,16,430,bacteria
3,91,430,spacers
1,71,431,viruses
2,16,431,bacteria
3,91,431,spacers
1,72,432,viruses
2,16,432,bacteria
3,92,432,spacers
1,72,433,viruses
2,16,433,bacteria
3,92,433,spacers
1,71,434,viruses
2,17,434,bacteria
3,92,434,spacers
1,72,435,viruses
2,17,435,bacteria
3,93,435,spacers
1,75,436,viruses
2,17,436,bacteria
3,96,436,spacers
1,74,437,viruses
2,18,437,bacteria
3,95,437,spacers
1,78,438,viruses
2,18,438,bacteria
3,99,438,spacers
1,79,439,viruses
2,19,439,bacteria
3,100,439,spacers
1,82,440,viruses
2,21,440,bacteria
3,103,440,spacers
1,84,441,viruses
2,22,441,bacteria
3,105,441,spacers
1,91,442,viruses
2,22,442,bacteria
3,112,442,spacers
1,92,443,viruses
2,22,443,bacteria
3,113,443,spacers
1,98,444,viruses
2,22,444,bacteria
3,119,444,spacers
1,102,445,viruses
2,22,445,bacteria
3,123,445,spacers
1,106,446,viruses
2,22,446,bacteria
3,127,446,spacers
1,111,447,viruses
2,23,447,bacteria
3,132,447,spacers
1,113,448,viruses
2,22,448,bacteria
3,134,448,spacers
1,117,449,viruses
2,22,449,bacteria
3,138,449,spacers
1,118,450,viruses
2,22,450,bacteria
3,139,450,spacers
1,119,451,viruses
2,24,451,bacteria
3,140,451,spacers
1,118,452,viruses
2,24,452,bacteria
3,139,452,spacers
1,121,453,viruses
2,26,453,bacteria
3,142,453,spacers
1,122,454,viruses
2,25,454,bacteria
3,143,454,spacers
1,119,455,viruses
2,24,455,bacteria
3,140,455,spacers
1,123,456,viruses
2,25,456,bacteria
3,144,456,spacers
1,121,457,viruses
2,26,457,bacteria
3,142,457,spacers
1,125,458,viruses
2,26,458,bacteria
3,146,458,spacers
1,123,459,viruses
2,25,459,bacteria
3,144,459,spacers
1,120,460,viruses
2,25,460,bacteria
3,141,460,spacers
1,117,461,viruses
2,23,461,bacteria
3,138,461,spacers
1,114,462,viruses
2,23,462,bacteria
3,135,462,spacers
1,115,463,viruses
2,24,463,bacteria
3,136,463,spacers
1,112,464,viruses
2,24,464,bacteria
3,133,464,spacers
1,113,465,viruses
2,24,465,bacteria
3,134,465,spacers
1,111,466,viruses
2,24,466,bacteria
3,132,466,spacers
1,110,467,viruses
2,25,467,bacteria
3,131,467,spacers
1,112,468,viruses
2,25,468,bacteria
3,133,468,spacers
1,113,469,viruses
2,25,469,bacteria
3,134,469,spacers
1,112,470,viruses
2,26,470,bacteria
3,133,470,spacers
1,113,471,viruses
2,25,471,bacteria
3,134,471,spacers
1,111,472,viruses
2,25,472,bacteria
3,132,472,spacers
1,110,473,viruses
2,25,473,bacteria
3,131,473,spacers
1,109,474,viruses
2,26,474,bacteria
3,130,474,spacers
1,108,475,viruses
2,27,475,bacteria
3,129,475,spacers
1,107,476,viruses
2,27,476,bacteria
3,128,476,spacers
1,106,477,viruses
2,27,477,bacteria
3,127,477,spacers
1,106,478,viruses
2,26,478,bacteria
3,127,478,spacers
1,106,479,viruses
2,25,479,bacteria
3,127,479,spacers
1,106,480,viruses
2,25,480,bacteria
3,127,480,spacers
1,104,481,viruses
2,25,481,bacteria
3,125,481,spacers
1,104,482,viruses
2,25,482,bacteria
3,125,482,spacers
1,104,483,viruses
2,25,483,bacteria
3,125,483,spacers
1,104,484,viruses
2,24,484,bacteria
3,125,484,spacers
1,104,485,viruses
2,23,485,bacteria
3,125,485,spacers
1,104,486,viruses
2,23,486,bacteria
3,125,486,spacers
1,105,487,viruses
2,22,487,bacteria
3,126,487,spacers
1,105,488,viruses
2,21,488,bacteria
3,126,488,spacers
1,105,489,viruses
2,21,489,bacteria
3,126,489,spacers
1,107,490,viruses
2,21,490,bacteria
3,128,490,spacers
1,111,491,viruses
2,22,491,bacteria
3,132,491,spacers
1,111,492,viruses
2,21,492,bacteria
3,132,492,spacers
1,114,493,viruses
2,21,493,bacteria
3,135,493,spacers
1,118,494,viruses
2,21,494,bacteria
3,139,494,spacers
1,120,495,viruses
2,21,495,bacteria
3,141,495,spacers
1,124,496,viruses
2,22,496,bacteria
3,145,496,spacers
1,125,497,viruses
2,23,497,bacteria
3,146,497,spacers
1,127,498,viruses
2,22,498,bacteria
3,148,498,spacers
1,130,499,viruses
2,23,499,bacteria
3,151,499,spacers
1,132,500,viruses
2,22,500,bacteria
3,153,500,spacers
1,137,501,viruses
2,21,501,bacteria
3,158,501,spacers
1,141,502,viruses
2,22,502,bacteria
3,162,502,spacers
1,145,503,viruses
2,23,503,bacteria
3,166,503,spacers
1,146,504,viruses
2,22,504,bacteria
3,167,504,spacers
1,151,505,viruses
2,22,505,bacteria
3,172,505,spacers
1,155,506,viruses
2,22,506,bacteria
3,176,506,spacers
1,158,507,viruses
2,25,507,bacteria
3,179,507,spacers
1,159,508,viruses
2,25,508,bacteria
3,180,508,spacers
1,165,509,viruses
2,26,509,bacteria
3,186,509,spacers
1,163,510,viruses
2,27,510,bacteria
3,184,510,spacers
1,166,511,viruses
2,29,511,bacteria
3,187,511,spacers
1,163,512,viruses
2,28,512,bacteria
3,184,512,spacers
1,166,513,viruses
2,28,513,bacteria
3,187,513,spacers
1,160,514,viruses
2,28,514,bacteria
3,181,514,spacers
1,165,515,viruses
2,28,515,bacteria
3,186,515,spacers
1,164,516,viruses
2,29,516,bacteria
3,185,516,spacers
1,167,517,viruses
2,29,517,bacteria
3,188,517,spacers
1,163,518,viruses
2,29,518,bacteria
3,184,518,spacers
1,164,519,viruses
2,29,519,bacteria
3,185,519,spacers
1,163,520,viruses
2,29,520,bacteria
3,184,520,spacers
1,159,521,viruses
2,29,521,bacteria
3,180,521,spacers
1,157,522,viruses
2,29,522,bacteria
3,178,522,spacers
1,158,523,viruses
2,29,523,bacteria
3,179,523,spacers
1,155,524,viruses
2,29,524,bacteria
3,176,524,spacers
1,156,525,viruses
2,29,525,bacteria
3,177,525,spacers
1,153,526,viruses
2,29,526,bacteria
3,174,526,spacers
1,151,527,viruses
2,29,527,bacteria
3,172,527,spacers
1,149,528,viruses
2,29,528,bacteria
3,170,528,spacers
1,147,529,viruses
2,29,529,bacteria
3,168,529,spacers
1,145,530,viruses
2,29,530,bacteria
3,166,530,spacers
1,144,531,viruses
2,29,531,bacteria
3,165,531,spacers
1,144,532,viruses
2,29,532,bacteria
3,165,532,spacers
1,144,533,viruses
2,29,533,bacteria
3,165,533,spacers
1,142,534,viruses
2,29,534,bacteria
3,163,534,spacers
1,141,535,viruses
2,29,535,bacteria
3,162,535,spacers
1,141,536,viruses
2,29,536,bacteria
3,162,536,spacers
1,141,537,viruses
2,29,537,bacteria
3,162,537,spacers
1,141,538,viruses
2,29,538,bacteria
3,162,538,spacers
1,140,539,viruses
2,29,539,bacteria
3,161,539,spacers
1,139,540,viruses
2,29,540,bacteria
3,160,540,spacers
1,137,541,viruses
2,29,541,bacteria
3,158,541,spacers
1,137,542,viruses
2,28,542,bacteria
3,158,542,spacers
1,136,543,viruses
2,27,543,bacteria
3,157,543,spacers
1,136,544,viruses
2,27,544,bacteria
3,157,544,spacers
1,136,545,viruses
2,26,545,bacteria
3,157,545,spacers
1,136,546,viruses
2,26,546,bacteria
3,157,546,spacers
1,136,547,viruses
2,26,547,bacteria
3,157,547,spacers
1,136,548,viruses
2,26,548,bacteria
3,157,548,spacers
1,135,549,viruses
2,26,549,bacteria
3,156,549,spacers
1,136,550,viruses
2,25,550,bacteria
3,157,550,spacers
1,136,551,viruses
2,25,551,bacteria
3,157,551,spacers
1,137,552,viruses
2,25,552,bacteria
3,158,552,spacers
1,137,553,viruses
2,24,553,bacteria
3,158,553,spacers
1,137,554,viruses
2,24,554,bacteria
3,158,554,spacers
1,138,555,viruses
2,24,555,bacteria
3,159,555,spacers
1,137,556,viruses
2,24,556,bacteria
3,158,556,spacers
1,137,557,viruses
2,24,557,bacteria
3,158,557,spacers
1,139,558,viruses
2,24,558,bacteria
3,160,558,spacers
1,138,559,viruses
2,24,559,bacteria
3,159,559,spacers
1,140,560,viruses
2,24,560,bacteria
3,161,560,spacers
1,142,561,viruses
2,27,561,bacteria
3,163,561,spacers
1,145,562,viruses
2,27,562,bacteria
3,166,562,spacers
1,154,563,viruses
2,30,563,bacteria
3,175,563,spacers
1,172,564,viruses
2,31,564,bacteria
3,193,564,spacers
1,198,565,viruses
2,34,565,bacteria
3,219,565,spacers
1,241,566,viruses
2,38,566,bacteria
3,262,566,spacers
1,264,567,viruses
2,41,567,bacteria
3,285,567,spacers
1,275,568,viruses
2,42,568,bacteria
3,296,568,spacers
1,278,569,viruses
2,43,569,bacteria
3,299,569,spacers
1,268,570,viruses
2,44,570,bacteria
3,289,570,spacers
1,268,571,viruses
2,46,571,bacteria
3,289,571,spacers
1,259,572,viruses
2,45,572,bacteria
3,280,572,spacers
1,259,573,viruses
2,45,573,bacteria
3,280,573,spacers
1,253,574,viruses
2,48,574,bacteria
3,274,574,spacers
1,261,575,viruses
2,49,575,bacteria
3,282,575,spacers
1,264,576,viruses
2,52,576,bacteria
3,285,576,spacers
1,267,577,viruses
2,51,577,bacteria
3,288,577,spacers
1,273,578,viruses
2,52,578,bacteria
3,294,578,spacers
1,275,579,viruses
2,52,579,bacteria
3,296,579,spacers
1,274,580,viruses
2,52,580,bacteria
3,295,580,spacers
1,273,581,viruses
2,52,581,bacteria
3,294,581,spacers
1,267,582,viruses
2,52,582,bacteria
3,288,582,spacers
1,257,583,viruses
2,52,583,bacteria
3,278,583,spacers
1,252,584,viruses
2,52,584,bacteria
3,273,584,spacers
1,248,585,viruses
2,52,585,bacteria
3,269,585,spacers
1,240,586,viruses
2,52,586,bacteria
3,261,586,spacers
1,238,587,viruses
2,52,587,bacteria
3,259,587,spacers
1,232,588,viruses
2,53,588,bacteria
3,253,588,spacers
1,230,589,viruses
2,53,589,bacteria
3,251,589,spacers
1,229,590,viruses
2,51,590,bacteria
3,250,590,spacers
1,229,591,viruses
2,51,591,bacteria
3,250,591,spacers
1,229,592,viruses
2,53,592,bacteria
3,250,592,spacers
1,245,593,viruses
2,53,593,bacteria
3,266,593,spacers
1,267,594,viruses
2,55,594,bacteria
3,288,594,spacers
1,290,595,viruses
2,59,595,bacteria
3,312,595,spacers
1,329,596,viruses
2,59,596,bacteria
3,351,596,spacers
1,353,597,viruses
2,60,597,bacteria
3,375,597,spacers
1,369,598,viruses
2,61,598,bacteria
3,391,598,spacers
1,376,599,viruses
2,61,599,bacteria
3,398,599,spacers
1,377,600,viruses
2,61,600,bacteria
3,399,600,spacers
1,386,601,viruses
2,69,601,bacteria
3,408,601,spacers
1,431,602,viruses
2,70,602,bacteria
3,453,602,spacers
1,474,603,viruses
2,71,603,bacteria
3,496,603,spacers
1,506,604,viruses
2,72,604,bacteria
3,528,604,spacers
1,496,605,viruses
2,74,605,bacteria
3,518,605,spacers
1,482,606,viruses
2,74,606,bacteria
3,504,606,spacers
1,460,607,viruses
2,74,607,bacteria
3,482,607,spacers
1,446,608,viruses
2,74,608,bacteria
3,468,608,spacers
1,425,609,viruses
2,74,609,bacteria
3,447,609,spacers
1,414,610,viruses
2,74,610,bacteria
3,436,610,spacers
1,399,611,viruses
2,74,611,bacteria
3,421,611,spacers
1,386,612,viruses
2,74,612,bacteria
3,408,612,spacers
1,379,613,viruses
2,74,613,bacteria
3,401,613,spacers
1,371,614,viruses
2,74,614,bacteria
3,393,614,spacers
1,373,615,viruses
2,75,615,bacteria
3,395,615,spacers
1,372,616,viruses
2,76,616,bacteria
3,394,616,spacers
1,379,617,viruses
2,77,617,bacteria
3,401,617,spacers
1,405,618,viruses
2,83,618,bacteria
3,427,618,spacers
1,467,619,viruses
2,85,619,bacteria
3,489,619,spacers
1,494,620,viruses
2,88,620,bacteria
3,516,620,spacers
1,509,621,viruses
2,89,621,bacteria
3,531,621,spacers
1,502,622,viruses
2,90,622,bacteria
3,524,622,spacers
1,487,623,viruses
2,90,623,bacteria
3,509,623,spacers
1,497,624,viruses
2,91,624,bacteria
3,519,624,spacers
1,536,625,viruses
2,94,625,bacteria
3,558,625,spacers
1,628,626,viruses
2,99,626,bacteria
3,650,626,spacers
1,710,627,viruses
2,100,627,bacteria
3,732,627,spacers
1,718,628,viruses
2,100,628,bacteria
3,740,628,spacers
1,695,629,viruses
2,100,629,bacteria
3,717,629,spacers
1,682,630,viruses
2,100,630,bacteria
3,704,630,spacers
1,645,631,viruses
2,100,631,bacteria
3,667,631,spacers
1,615,632,viruses
2,100,632,bacteria
3,637,632,spacers
1,604,633,viruses
2,100,633,bacteria
3,626,633,spacers
1,587,634,viruses
2,100,634,bacteria
3,609,634,spacers
1,568,635,viruses
2,100,635,bacteria
3,590,635,spacers
1,546,636,viruses
2,100,636,bacteria
3,568,636,spacers
1,533,637,viruses
2,100,637,bacteria
3,555,637,spacers
1,519,638,viruses
2,100,638,bacteria
3,541,638,spacers
1,501,639,viruses
2,100,639,bacteria
3,523,639,spacers
1,492,640,viruses
2,100,640,bacteria
3,514,640,spacers
1,481,641,viruses
2,100,641,bacteria
3,503,641,spacers
1,474,642,viruses
2,100,642,bacteria
3,496,642,spacers
1,466,643,viruses
2,100,643,bacteria
3,488,643,spacers
1,462,644,viruses
2,100,644,bacteria
3,484,644,spacers
1,454,645,viruses
2,101,645,bacteria
3,476,645,spacers
1,446,646,viruses
2,101,646,bacteria
3,468,646,spacers
1,440,647,viruses
2,101,647,bacteria
3,462,647,spacers
1,439,648,viruses
2,101,648,bacteria
3,461,648,spacers
1,435,649,viruses
2,101,649,bacteria
3,457,649,spacers
1,429,650,viruses
2,102,650,bacteria
3,451,650,spacers
1,428,651,viruses
2,103,651,bacteria
3,450,651,spacers
1,433,652,viruses
2,104,652,bacteria
3,455,652,spacers
1,437,653,viruses
2,106,653,bacteria
3,459,653,spacers
1,436,654,viruses
2,107,654,bacteria
3,458,654,spacers
1,448,655,viruses
2,108,655,bacteria
3,470,655,spacers
1,454,656,viruses
2,110,656,bacteria
3,476,656,spacers
1,463,657,viruses
2,113,657,bacteria
3,485,657,spacers
1,470,658,viruses
2,113,658,bacteria
3,492,658,spacers
1,475,659,viruses
2,115,659,bacteria
3,497,659,spacers
1,475,660,viruses
2,115,660,bacteria
3,497,660,spacers
1,477,661,viruses
2,115,661,bacteria
3,499,661,spacers
1,481,662,viruses
2,115,662,bacteria
3,503,662,spacers
1,475,663,viruses
2,115,663,bacteria
3,497,663,spacers
1,476,664,viruses
2,115,664,bacteria
3,498,664,spacers
1,469,665,viruses
2,116,665,bacteria
3,491,665,spacers
1,465,666,viruses
2,116,666,bacteria
3,487,666,spacers
1,463,667,viruses
2,115,667,bacteria
3,485,667,spacers
1,460,668,viruses
2,114,668,bacteria
3,482,668,spacers
1,454,669,viruses
2,114,669,bacteria
3,476,669,spacers
1,451,670,viruses
2,112,670,bacteria
3,473,670,spacers
1,448,671,viruses
2,113,671,bacteria
3,470,671,spacers
1,446,672,viruses
2,113,672,bacteria
3,468,672,spacers
1,448,673,viruses
2,112,673,bacteria
3,470,673,spacers
1,450,674,viruses
2,112,674,bacteria
3,472,674,spacers
1,453,675,viruses
2,112,675,bacteria
3,475,675,spacers
1,454,676,viruses
2,113,676,bacteria
3,476,676,spacers
1,459,677,viruses
2,114,677,bacteria
3,481,677,spacers
1,467,678,viruses
2,114,678,bacteria
3,489,678,spacers
1,476,679,viruses
2,116,679,bacteria
3,498,679,spacers
1,485,680,viruses
2,119,680,bacteria
3,507,680,spacers
1,501,681,viruses
2,120,681,bacteria
3,523,681,spacers
1,510,682,viruses
2,123,682,bacteria
3,532,682,spacers
1,520,683,viruses
2,123,683,bacteria
3,542,683,spacers
1,529,684,viruses
2,124,684,bacteria
3,551,684,spacers
1,540,685,viruses
2,126,685,bacteria
3,562,685,spacers
1,550,686,viruses
2,127,686,bacteria
3,572,686,spacers
1,553,687,viruses
2,129,687,bacteria
3,575,687,spacers
1,555,688,viruses
2,129,688,bacteria
3,577,688,spacers
1,554,689,viruses
2,129,689,bacteria
3,576,689,spacers
1,554,690,viruses
2,129,690,bacteria
3,576,690,spacers
1,548,691,viruses
2,130,691,bacteria
3,570,691,spacers
1,545,692,viruses
2,130,692,bacteria
3,567,692,spacers
1,538,693,viruses
2,130,693,bacteria
3,560,693,spacers
1,532,694,viruses
2,130,694,bacteria
3,554,694,spacers
1,532,695,viruses
2,130,695,bacteria
3,554,695,spacers
1,527,696,viruses
2,130,696,bacteria
3,549,696,spacers
1,523,697,viruses
2,130,697,bacteria
3,545,697,spacers
1,520,698,viruses
2,131,698,bacteria
3,542,698,spacers
1,514,699,viruses
2,131,699,bacteria
3,536,699,spacers
1,509,700,viruses
2,130,700,bacteria
3,531,700,spacers
1,505,701,viruses
2,130,701,bacteria
3,527,701,spacers
1,504,702,viruses
2,130,702,bacteria
3,526,702,spacers
1,498,703,viruses
2,129,703,bacteria
3,520,703,spacers
1,496,704,viruses
2,129,704,bacteria
3,518,704,spacers
1,492,705,viruses
2,129,705,bacteria
3,514,705,spacers
1,491,706,viruses
2,128,706,bacteria
3,513,706,spacers
1,488,707,viruses
2,128,707,bacteria
3,510,707,spacers
1,486,708,viruses
2,128,708,bacteria
3,508,708,spacers
1,485,709,viruses
2,128,709,bacteria
3,507,709,spacers
1,485,710,viruses
2,129,710,bacteria
3,508,710,spacers
1,486,711,viruses
2,129,711,bacteria
3,509,711,spacers
1,488,712,viruses
2,129,712,bacteria
3,511,712,spacers
1,492,713,viruses
2,130,713,bacteria
3,515,713,spacers
1,496,714,viruses
2,129,714,bacteria
3,519,714,spacers
1,499,715,viruses
2,128,715,bacteria
3,522,715,spacers
1,514,716,viruses
2,132,716,bacteria
3,537,716,spacers
1,534,717,viruses
2,133,717,bacteria
3,557,717,spacers
1,552,718,viruses
2,135,718,bacteria
3,575,718,spacers
1,573,719,viruses
2,135,719,bacteria
3,596,719,spacers
1,586,720,viruses
2,136,720,bacteria
3,609,720,spacers
1,595,721,viruses
2,140,721,bacteria
3,618,721,spacers
1,600,722,viruses
2,140,722,bacteria
3,624,722,spacers
1,599,723,viruses
2,140,723,bacteria
3,623,723,spacers
1,588,724,viruses
2,140,724,bacteria
3,612,724,spacers
1,583,725,viruses
2,141,725,bacteria
3,608,725,spacers
1,576,726,viruses
2,142,726,bacteria
3,601,726,spacers
1,574,727,viruses
2,142,727,bacteria
3,599,727,spacers
1,570,728,viruses
2,142,728,bacteria
3,595,728,spacers
1,565,729,viruses
2,142,729,bacteria
3,590,729,spacers
1,561,730,viruses
2,142,730,bacteria
3,586,730,spacers
1,560,731,viruses
2,142,731,bacteria
3,585,731,spacers
1,559,732,viruses
2,142,732,bacteria
3,584,732,spacers
1,559,733,viruses
2,142,733,bacteria
3,584,733,spacers
1,556,734,viruses
2,140,734,bacteria
3,581,734,spacers
1,560,735,viruses
2,140,735,bacteria
3,585,735,spacers
1,556,736,viruses
2,140,736,bacteria
3,581,736,spacers
1,558,737,viruses
2,140,737,bacteria
3,583,737,spacers
1,569,738,viruses
2,146,738,bacteria
3,594,738,spacers
1,601,739,viruses
2,150,739,bacteria
3,626,739,spacers
1,628,740,viruses
2,157,740,bacteria
3,653,740,spacers
1,675,741,viruses
2,160,741,bacteria
3,700,741,spacers
1,697,742,viruses
2,165,742,bacteria
3,722,742,spacers
1,721,743,viruses
2,167,743,bacteria
3,746,743,spacers
1,740,744,viruses
2,173,744,bacteria
3,765,744,spacers
1,741,745,viruses
2,176,745,bacteria
3,766,745,spacers
1,725,746,viruses
2,177,746,bacteria
3,750,746,spacers
1,716,747,viruses
2,175,747,bacteria
3,741,747,spacers
1,711,748,viruses
2,174,748,bacteria
3,736,748,spacers
1,703,749,viruses
2,173,749,bacteria
3,728,749,spacers
1,697,750,viruses
2,175,750,bacteria
3,722,750,spacers
1,698,751,viruses
2,174,751,bacteria
3,723,751,spacers
1,719,752,viruses
2,178,752,bacteria
3,745,752,spacers
1,780,753,viruses
2,185,753,bacteria
3,806,753,spacers
1,828,754,viruses
2,194,754,bacteria
3,854,754,spacers
1,842,755,viruses
2,200,755,bacteria
3,868,755,spacers
1,835,756,viruses
2,204,756,bacteria
3,861,756,spacers
1,820,757,viruses
2,204,757,bacteria
3,846,757,spacers
1,800,758,viruses
2,202,758,bacteria
3,826,758,spacers
1,787,759,viruses
2,201,759,bacteria
3,813,759,spacers
1,771,760,viruses
2,200,760,bacteria
3,798,760,spacers
1,753,761,viruses
2,200,761,bacteria
3,780,761,spacers
1,736,762,viruses
2,201,762,bacteria
3,763,762,spacers
1,719,763,viruses
2,201,763,bacteria
3,746,763,spacers
1,712,764,viruses
2,201,764,bacteria
3,739,764,spacers
1,708,765,viruses
2,200,765,bacteria
3,735,765,spacers
1,702,766,viruses
2,199,766,bacteria
3,729,766,spacers
1,696,767,viruses
2,199,767,bacteria
3,723,767,spacers
1,686,768,viruses
2,200,768,bacteria
3,714,768,spacers
1,681,769,viruses
2,198,769,bacteria
3,709,769,spacers
1,682,770,viruses
2,197,770,bacteria
3,710,770,spacers
1,681,771,viruses
2,199,771,bacteria
3,709,771,spacers
1,681,772,viruses
2,198,772,bacteria
3,709,772,spacers
1,679,773,viruses
2,199,773,bacteria
3,708,773,spacers
1,682,774,viruses
2,199,774,bacteria
3,711,774,spacers
1,688,775,viruses
2,198,775,bacteria
3,717,775,spacers
1,702,776,viruses
2,199,776,bacteria
3,731,776,spacers
1,712,777,viruses
2,201,777,bacteria
3,741,777,spacers
1,730,778,viruses
2,205,778,bacteria
3,759,778,spacers
1,755,779,viruses
2,208,779,bacteria
3,784,779,spacers
1,778,780,viruses
2,211,780,bacteria
3,807,780,spacers
1,797,781,viruses
2,216,781,bacteria
3,827,781,spacers
1,821,782,viruses
2,223,782,bacteria
3,851,782,spacers
1,871,783,viruses
2,228,783,bacteria
3,901,783,spacers
1,921,784,viruses
2,228,784,bacteria
3,951,784,spacers
1,966,785,viruses
2,230,785,bacteria
3,996,785,spacers
1,984,786,viruses
2,231,786,bacteria
3,1014,786,spacers
1,994,787,viruses
2,231,787,bacteria
3,1024,787,spacers
1,983,788,viruses
2,231,788,bacteria
3,1013,788,spacers
1,966,789,viruses
2,231,789,bacteria
3,996,789,spacers
1,955,790,viruses
2,231,790,bacteria
3,985,790,spacers
1,941,791,viruses
2,233,791,bacteria
3,971,791,spacers
1,914,792,viruses
2,233,792,bacteria
3,944,792,spacers
1,901,793,viruses
2,233,793,bacteria
3,931,793,spacers
1,891,794,viruses
2,233,794,bacteria
3,921,794,spacers
1,883,795,viruses
2,233,795,bacteria
3,913,795,spacers
1,869,796,viruses
2,233,796,bacteria
3,899,796,spacers
1,850,797,viruses
2,233,797,bacteria
3,880,797,spacers
1,838,798,viruses
2,232,798,bacteria
3,868,798,spacers
1,833,799,viruses
2,232,799,bacteria
3,863,799,spacers
1,819,800,viruses
2,232,800,bacteria
3,849,800,spacers
1,819,801,viruses
2,232,801,bacteria
3,849,801,spacers
1,823,802,viruses
2,232,802,bacteria
3,853,802,spacers
1,854,803,viruses
2,238,803,bacteria
3,884,803,spacers
1,910,804,viruses
2,241,804,bacteria
3,941,804,spacers
1,1001,805,viruses
2,250,805,bacteria
3,1032,805,spacers
1,1015,806,viruses
2,250,806,bacteria
3,1046,806,spacers
1,1005,807,viruses
2,250,807,bacteria
3,1036,807,spacers
1,991,808,viruses
2,249,808,bacteria
3,1022,808,spacers
1,971,809,viruses
2,248,809,bacteria
3,1002,809,spacers
1,954,810,viruses
2,249,810,bacteria
3,985,810,spacers
1,935,811,viruses
2,250,811,bacteria
3,966,811,spacers
1,917,812,viruses
2,249,812,bacteria
3,948,812,spacers
1,913,813,viruses
2,249,813,bacteria
3,944,813,spacers
1,900,814,viruses
2,250,814,bacteria
3,931,814,spacers
