V_ID,birth,death,persistence
V_0002,17,33,17
V_0003,18,20,3
V_0004,19,20,2
V_0005,19,19,1
V_0006,19,46,28
V_0007,19,266,248
V_0008,20,26,7
V_0009,20,25,6
V_0010,20,23,4
V_0011,20,23,4
V_0012,20,25,6
V_0013,20,20,1
V_0014,20,27,8
V_0015,20,21,2
V_0016,20,26,7
V_0017,20,21,2
V_0018,20,43,24
V_0019,20,20,1
V_0020,20,38,19
V_0021,20,21,2
V_0022,21,814,794
V_0023,21,38,18
V_0024,21,32,12
V_0025,21,26,6
V_0026,21,30,10
V_0027,21,36,16
V_0028,21,34,14
V_0029,21,30,10
V_0031,21,27,7
V_0032,21,39,19
V_0033,21,814,794
V_0035,21,709,689
V_0036,21,24,4
V_0037,21,32,12
V_0038,21,814,794
V_0039,21,29,9
V_0040,21,40,20
V_0042,21,30,10
V_0043,21,23,3
V_0044,21,25,5
V_0045,21,31,11
V_0046,21,39,19
V_0047,21,31,11
V_0048,21,814,794
V_0049,21,116,96
V_0050,21,32,12
V_0051,21,22,2
V_0052,21,23,3
V_0053,21,21,1
V_0054,21,27,7
V_0055,21,814,794
V_0056,21,32,12
V_0057,21,23,3
V_0058,21,21,1
V_0059,21,30,10
V_0060,21,23,3
V_0061,21,23,3
V_0062,21,36,16
V_0063,21,34,14
V_0064,21,22,2
V_0065,21,25,5
V_0066,21,814,794
V_0067,21,30,10
V_0068,21,41,21
V_0069,21,43,23
V_0070,22,26,5
V_0071,22,25,4
V_0072,22,27,6
V_0073,22,27,6
V_0074,22,814,793
V_0075,22,27,6
V_0076,22,33,12
V_0077,22,33,12
V_0078,22,68,47
V_0079,22,35,14
V_0080,22,23,2
V_0082,22,41,20
V_0083,22,26,5
V_0084,22,54,33
V_0085,22,25,4
V_0086,22,25,4
V_0087,22,61,40
V_0088,22,27,6
V_0089,22,24,3
V_0090,22,34,13
V_0091,22,25,4
V_0092,22,58,37
V_0093,22,24,3
V_0094,22,22,1
V_0095,22,40,19
V_0096,22,29,8
V_0097,22,26,5
V_0098,22,26,5
V_0099,22,814,793
V_0100,22,24,3
V_0101,22,814,793
V_0102,22,30,9
V_0103,22,30,9
V_0105,22,23,2
V_0107,22,814,793
V_0108,22,814,793
V_0109,22,22,1
V_0110,22,24,3
V_0111,22,22,1
V_0112,22,24,3
V_0113,22,27,6
V_0114,22,24,3
V_0115,22,53,32
V_0116,22,27,6
V_0117,22,36,15
V_0118,22,31,10
V_0119,22,22,1
V_0120,22,43,22
V_0121,22,46,25
V_0122,22,31,10
V_0123,22,25,4
V_0124,22,23,2
V_0125,22,29,8
V_0126,22,25,4
V_0127,22,24,3
V_0128,22,27,6
V_0129,22,23,2
V_0130,22,22,1
V_0131,22,30,9
V_0132,22,31,10
V_0133,22,814,793
V_0135,22,47,26
V_0136,22,22,1
V_0137,22,25,4
V_0138,22,33,12
V_0139,22,36,15
V_0140,22,25,4
V_0141,22,47,26
V_0142,22,814,793
V_0143,22,30,9
V_0144,22,27,6
V_0145,22,34,13
V_0147,22,22,1
V_0148,22,22,1
V_0149,22,24,3
V_0150,22,22,1
V_0151,22,22,1
V_0152,22,22,1
V_0153,22,33,12
V_0154,22,33,12
V_0155,22,814,793
V_0156,22,47,26
V_0157,22,33,12
V_0158,22,33,12
V_0159,22,24,3
V_0160,22,55,34
V_0161,22,33,12
V_0162,22,33,12
V_0163,22,24,3
V_0164,22,26,5
V_0165,22,24,3
V_0166,22,22,1
V_0167,22,23,2
V_0168,22,22,1
V_0170,23,26,4
V_0171,23,30,8
V_0172,23,27,5
V_0173,23,26,4
V_0174,23,36,14
V_0175,23,25,3
V_0176,23,35,13
V_0180,23,25,3
V_0181,23,24,2
V_0182,23,53,31
V_0183,23,32,10
V_0184,23,24,2
V_0185,23,28,6
V_0186,23,24,2
V_0187,23,24,2
V_0188,23,37,15
V_0189,23,27,5
V_0190,23,814,792
V_0191,23,25,3
V_0193,23,25,3
V_0195,23,28,6
V_0196,23,59,37
V_0198,23,29,7
V_0200,23,23,1
V_0202,23,33,11
V_0203,23,814,792
V_0205,23,31,9
V_0206,23,24,2
V_0207,23,24,2
V_0208,23,30,8
V_0209,23,37,15
V_0210,23,27,5
V_0211,23,32,10
V_0212,23,109,87
V_0213,23,25,3
V_0214,23,31,9
V_0215,23,25,3
V_0216,23,30,8
V_0217,23,28,6
V_0218,23,24,2
V_0219,23,23,1
V_0220,23,26,4
V_0221,23,23,1
V_0222,23,25,3
V_0223,23,31,9
V_0224,23,41,19
V_0225,23,27,5
V_0226,23,27,5
V_0227,23,23,1
V_0228,23,27,5
V_0229,23,29,7
V_0230,23,55,33
V_0231,23,28,6
V_0233,23,32,10
V_0234,23,42,20
V_0235,23,27,5
V_0236,23,33,11
V_0237,23,25,3
V_0238,23,36,14
V_0239,23,42,20
V_0240,23,24,2
V_0241,23,34,12
V_0242,23,25,3
V_0243,23,23,1
V_0244,23,26,4
V_0245,23,23,1
V_0246,23,27,5
V_0247,23,30,8
V_0248,23,33,11
V_0249,23,245,223
V_0250,23,23,1
V_0251,23,45,23
V_0252,23,23,1
V_0253,23,32,10
V_0254,23,268,246
V_0255,23,26,4
V_0256,23,58,36
V_0257,23,52,30
V_0258,23,36,14
V_0259,23,28,6
V_0260,23,59,37
V_0261,23,25,3
V_0262,23,31,9
V_0263,23,27,5
V_0264,23,31,9
V_0265,23,33,11
V_0266,23,23,1
V_0267,23,37,15
V_0268,23,42,20
V_0269,23,45,23
V_0270,23,27,5
V_0271,23,23,1
V_0272,23,31,9
V_0273,23,29,7
V_0274,23,26,4
V_0275,23,28,6
V_0276,23,32,10
V_0277,23,31,9
V_0278,23,39,17
V_0279,23,35,13
V_0280,23,814,792
V_0281,23,35,13
V_0282,23,34,12
V_0283,23,30,8
V_0284,23,24,2
V_0285,23,25,3
V_0286,23,27,5
V_0287,23,38,16
V_0288,23,814,792
V_0289,23,25,3
V_0290,23,34,12
V_0291,23,34,12
V_0292,23,33,11
V_0293,23,30,8
V_0294,23,31,9
V_0295,23,28,6
V_0296,23,23,1
V_0297,23,25,3
V_0298,23,45,23
V_0299,23,23,1
V_0300,24,27,4
V_0302,24,25,2
V_0303,24,27,4
V_0304,24,26,3
V_0305,24,56,33
V_0306,24,24,1
V_0307,24,26,3
V_0308,24,28,5
V_0309,24,27,4
V_0310,24,25,2
V_0311,24,37,14
V_0312,24,25,2
V_0313,24,28,5
V_0314,24,26,3
V_0315,24,25,2
V_0316,24,32,9
V_0318,24,27,4
V_0319,24,26,3
V_0320,24,26,3
V_0321,24,36,13
V_0322,24,29,6
V_0323,24,37,14
V_0324,24,30,7
V_0325,24,36,13
V_0326,24,814,791
V_0327,24,814,791
V_0329,24,27,4
V_0331,24,54,31
V_0332,24,32,9
V_0333,24,35,12
V_0334,24,28,5
V_0335,24,29,6
V_0336,24,27,4
V_0337,24,32,9
V_0338,24,25,2
V_0339,24,814,791
V_0340,24,28,5
V_0341,24,32,9
V_0342,24,42,19
V_0343,24,24,1
V_0344,24,31,8
V_0345,24,33,10
V_0346,24,814,791
V_0347,24,814,791
V_0348,24,36,13
V_0349,24,40,17
V_0350,24,28,5
V_0351,24,31,8
V_0352,24,26,3
V_0354,24,31,8
V_0355,24,39,16
V_0356,24,35,12
V_0357,24,34,11
V_0358,24,36,13
V_0359,24,33,10
V_0360,24,33,10
V_0361,24,27,4
V_0362,24,39,16
V_0363,24,814,791
V_0364,24,30,7
V_0365,25,43,19
V_0366,25,30,6
V_0367,25,95,71
V_0368,25,28,4
V_0369,25,27,3
V_0370,25,44,20
V_0371,25,29,5
V_0372,25,39,15
V_0373,25,70,46
V_0374,25,26,2
V_0375,25,55,31
V_0376,25,41,17
V_0377,25,25,1
V_0378,25,31,7
V_0379,25,36,12
V_0380,25,25,1
V_0381,25,35,11
V_0382,25,25,1
V_0383,26,47,22
V_0384,26,37,12
V_0385,26,27,2
V_0386,26,30,5
V_0387,26,27,2
V_0388,26,35,10
V_0389,26,29,4
V_0390,27,31,5
V_0391,27,41,15
V_0392,27,37,11
V_0393,28,44,17
V_0394,79,814,736
V_0395,83,84,2
V_0396,89,347,259
V_0397,90,90,1
V_0398,96,105,10
V_0399,96,101,6
V_0400,97,814,718
V_0401,98,101,4
V_0402,99,99,1
V_0403,100,814,715
V_0405,101,105,5
V_0406,102,814,713
V_0407,103,103,1
V_0408,104,205,102
V_0409,104,106,3
V_0410,105,140,36
V_0411,108,814,707
V_0412,109,119,11
V_0413,109,112,4
V_0415,109,814,706
V_0416,109,113,5
V_0417,111,111,1
V_0418,111,124,14
V_0419,111,117,7
V_0420,112,116,5
V_0421,112,130,19
V_0422,112,124,13
V_0423,113,814,702
V_0424,113,113,1
V_0425,115,814,700
V_0426,117,176,60
V_0427,118,124,7
V_0428,118,120,3
V_0429,118,144,27
V_0431,119,132,14
V_0432,119,130,12
V_0433,123,814,692
V_0434,124,130,7
V_0435,125,814,690
V_0436,125,130,6
V_0437,130,136,7
V_0438,131,148,18
V_0439,133,141,9
V_0440,136,814,679
V_0441,138,814,677
V_0442,138,139,2
V_0443,142,144,3
V_0444,143,143,1
V_0446,145,149,5
V_0447,145,814,670
V_0448,146,154,9
V_0449,147,154,8
V_0451,148,158,11
V_0452,150,162,13
V_0453,151,814,664
V_0454,152,814,663
V_0455,153,164,12
V_0456,155,159,5
V_0457,156,186,31
V_0458,157,163,7
V_0460,159,167,9
V_0461,160,165,6
V_0462,163,180,18
V_0464,167,177,11
V_0465,167,222,56
V_0466,168,814,647
V_0467,174,188,15
V_0468,176,433,258
V_0469,178,178,1
V_0470,179,181,3
V_0471,180,194,15
V_0472,181,814,634
V_0473,186,814,629
V_0474,191,206,16
V_0475,194,814,621
V_0476,194,226,33
V_0477,195,198,4
V_0478,195,197,3
V_0479,198,212,15
V_0480,198,814,617
V_0481,205,212,8
V_0482,209,814,606
V_0483,210,213,4
V_0484,214,219,6
V_0485,214,232,19
V_0486,214,814,601
V_0487,216,217,2
V_0488,223,231,9
V_0489,226,232,7
V_0490,228,228,1
V_0491,228,248,21
V_0492,229,238,10
V_0493,231,814,584
V_0494,238,814,577
V_0495,243,246,4
V_0496,250,814,565
V_0497,251,251,1
V_0498,259,814,556
V_0499,262,271,10
V_0500,263,266,4
V_0501,266,276,11
V_0502,267,268,2
V_0503,268,272,5
V_0504,268,277,10
V_0505,269,279,11
V_0506,270,274,5
V_0507,271,273,3
V_0508,271,275,5
V_0509,272,275,4
V_0510,273,284,12
V_0511,273,814,542
V_0512,273,273,1
V_0513,273,277,5
V_0514,273,274,2
V_0515,274,276,3
V_0516,276,293,18
V_0517,277,280,4
V_0518,277,814,538
V_0519,280,280,1
V_0520,281,814,534
V_0521,282,286,5
V_0522,283,338,56
V_0523,284,284,1
V_0524,284,291,8
V_0525,285,814,530
V_0526,286,299,14
V_0527,286,289,4
V_0528,286,288,3
V_0529,287,814,528
V_0530,289,293,5
V_0531,290,814,525
V_0532,291,293,3
V_0533,294,294,1
V_0534,297,814,518
V_0535,299,303,5
V_0536,305,311,7
V_0537,329,329,1
V_0538,349,361,13
V_0540,356,814,459
V_0541,359,380,22
V_0542,363,373,11
V_0543,363,814,452
V_0544,363,364,2
V_0545,368,370,3
V_0546,369,369,1
V_0547,370,376,7
V_0548,370,814,445
V_0549,371,377,7
V_0550,371,814,444
V_0551,372,814,443
V_0552,373,386,14
V_0553,374,375,2
V_0554,374,377,4
V_0555,375,396,22
V_0556,376,379,4
V_0557,377,387,11
V_0558,378,814,437
V_0559,378,386,9
V_0561,379,383,5
V_0562,380,383,4
V_0563,381,814,434
V_0564,381,594,214
V_0565,382,385,4
V_0566,382,383,2
V_0567,382,389,8
V_0568,383,814,432
V_0569,383,384,2
V_0570,385,387,3
V_0571,389,814,426
V_0572,390,394,5
V_0573,391,814,424
V_0574,393,398,6
V_0575,399,814,416
V_0576,432,814,383
V_0577,435,436,2
V_0578,436,436,1
V_0580,436,516,81
V_0581,436,437,2
V_0582,437,814,378
V_0583,438,460,23
V_0584,438,814,377
V_0585,438,492,55
V_0586,438,438,1
V_0587,438,540,103
V_0588,439,444,6
V_0589,439,473,35
V_0590,440,443,4
V_0591,440,443,4
V_0592,440,442,3
V_0593,441,814,374
V_0595,441,442,2
V_0596,442,448,7
V_0597,442,442,1
V_0598,442,454,13
V_0599,442,814,373
V_0600,442,455,14
V_0601,442,446,5
V_0602,442,444,3
V_0603,443,814,372
V_0604,443,463,21
V_0605,443,474,32
V_0606,443,814,372
V_0607,444,814,371
V_0608,444,461,18
V_0609,444,449,6
V_0610,444,445,2
V_0611,444,444,1
V_0612,444,445,2
V_0613,444,450,7
V_0614,444,452,9
V_0615,445,496,52
V_0616,445,459,15
V_0617,445,447,3
V_0618,445,448,4
V_0619,445,446,2
V_0620,445,458,14
V_0621,445,814,370
V_0622,446,814,369
V_0623,446,454,9
V_0624,446,446,1
V_0625,446,449,4
V_0626,446,814,369
V_0627,446,458,13
V_0628,447,465,19
V_0629,447,450,4
V_0630,447,814,368
V_0631,447,459,13
V_0632,447,448,2
V_0633,447,460,14
V_0634,447,814,368
V_0635,447,456,10
V_0636,448,451,4
V_0637,448,814,367
V_0638,448,460,13
V_0639,449,463,15
V_0640,449,451,3
V_0641,449,459,11
V_0642,449,480,32
V_0643,449,466,18
V_0644,449,454,6
V_0645,449,450,2
V_0646,450,456,7
V_0647,450,454,5
V_0648,450,814,365
V_0649,451,814,364
V_0651,451,814,364
V_0653,451,814,364
V_0654,451,814,364
V_0656,452,454,3
V_0657,453,814,362
V_0658,453,463,11
V_0659,453,458,6
V_0660,453,461,9
V_0661,454,454,1
V_0663,455,814,360
V_0664,455,461,7
V_0665,455,460,6
V_0666,456,456,1
V_0667,456,458,3
V_0668,456,463,8
V_0669,456,469,14
V_0670,456,457,2
V_0671,457,522,66
V_0672,458,780,323
V_0673,458,472,15
V_0674,458,459,2
V_0675,458,459,2
V_0676,458,814,357
V_0677,459,814,356
V_0678,459,814,356
V_0679,460,489,30
V_0680,460,463,4
V_0681,461,814,354
V_0682,463,465,3
V_0683,464,464,1
V_0684,464,814,351
V_0685,465,469,5
V_0686,465,476,12
V_0687,468,471,4
V_0688,468,469,2
V_0689,469,475,7
V_0690,470,480,11
V_0691,470,814,345
V_0692,471,471,1
V_0693,487,487,1
V_0694,488,491,4
V_0695,490,498,9
V_0696,490,814,325
V_0697,490,500,11
V_0698,491,498,8
V_0699,491,493,3
V_0700,491,494,4
V_0701,491,500,10
V_0702,492,503,12
V_0704,493,814,322
V_0705,493,493,1
V_0706,493,497,5
V_0707,493,814,322
V_0708,494,509,16
V_0709,494,509,16
V_0710,494,814,321
V_0711,494,814,321
V_0712,494,519,26
V_0713,494,509,16
V_0714,495,496,2
V_0715,495,498,4
V_0716,495,495,1
V_0717,496,507,12
V_0718,496,814,319
V_0720,496,508,13
V_0721,496,502,7
V_0722,496,496,1
V_0723,497,497,1
V_0724,497,814,318
V_0725,497,505,9
V_0726,497,814,318
V_0727,498,498,1
V_0728,498,502,5
V_0729,498,724,227
V_0730,498,498,1
V_0731,499,814,316
V_0732,499,507,9
V_0733,499,501,3
V_0734,499,500,2
V_0735,499,499,1
V_0736,499,501,3
V_0737,499,505,7
V_0738,499,513,15
V_0739,500,513,14
V_0740,500,514,15
V_0741,500,514,15
V_0742,501,503,3
V_0743,501,814,314
V_0744,501,505,5
V_0745,501,814,314
V_0746,501,505,5
V_0747,501,814,314
V_0748,501,509,9
V_0749,501,514,14
V_0750,502,507,6
V_0751,502,511,10
V_0752,502,508,7
V_0753,502,513,12
V_0754,502,503,2
V_0755,502,508,7
V_0756,503,503,1
V_0757,503,505,3
V_0758,503,504,2
V_0759,503,814,312
V_0760,503,506,4
V_0761,503,513,11
V_0762,504,814,311
V_0763,504,512,9
V_0764,504,520,17
V_0765,504,516,13
V_0766,504,539,36
V_0767,505,814,310
V_0768,505,520,16
V_0769,505,509,5
V_0770,505,506,2
V_0771,505,505,1
V_0772,505,519,15
V_0773,506,511,6
V_0774,506,510,5
V_0775,506,508,3
V_0776,506,513,8
V_0777,506,512,7
V_0778,506,515,10
V_0779,506,523,18
V_0780,506,510,5
V_0781,506,511,6
V_0782,506,528,23
V_0783,507,507,1
V_0784,507,814,308
V_0785,507,814,308
V_0786,507,527,21
V_0787,507,513,7
V_0788,508,509,2
V_0789,508,511,4
V_0790,508,511,4
V_0791,508,515,8
V_0792,508,542,35
V_0793,509,814,306
V_0794,509,509,1
V_0795,509,517,9
V_0797,509,509,1
V_0798,509,515,7
V_0799,509,512,4
V_0800,509,521,13
V_0801,509,517,9
V_0802,509,520,12
V_0803,509,513,5
V_0804,510,519,10
V_0805,510,511,2
V_0806,510,521,12
V_0807,510,511,2
V_0808,510,515,6
V_0809,510,513,4
V_0810,511,511,1
V_0811,511,814,304
V_0813,511,814,304
V_0814,511,513,3
V_0815,511,515,5
V_0816,512,515,4
V_0817,512,523,12
V_0818,512,814,303
V_0819,512,529,18
V_0820,512,513,2
V_0821,513,526,14
V_0822,513,514,2
V_0823,513,814,302
V_0824,513,518,6
V_0825,513,513,1
V_0826,513,519,7
V_0828,514,519,6
V_0829,514,533,20
V_0830,514,530,17
V_0831,514,814,301
V_0832,514,814,301
V_0833,515,525,11
V_0834,515,525,11
V_0835,515,517,3
V_0836,515,814,300
V_0837,515,814,300
V_0838,515,814,300
V_0839,515,520,6
V_0840,515,814,300
V_0841,515,517,3
V_0842,516,527,12
V_0843,516,814,299
V_0844,516,814,299
V_0845,516,517,2
V_0846,516,523,8
V_0847,517,540,24
V_0848,517,548,32
V_0849,517,814,298
V_0850,517,524,8
V_0851,517,814,298
V_0852,518,814,297
V_0853,519,528,10
V_0854,519,531,13
V_0855,520,529,10
V_0856,520,525,6
V_0857,520,538,19
V_0858,520,525,6
V_0859,523,526,4
V_0860,523,533,11
V_0861,525,814,290
V_0862,525,814,290
V_0863,526,814,289
V_0864,532,534,3
V_0865,550,721,172
V_0866,552,631,80
V_0867,555,555,1
V_0868,558,558,1
V_0869,558,562,5
V_0870,560,575,16
V_0871,560,814,255
V_0872,561,814,254
V_0873,561,575,15
V_0874,562,568,7
V_0875,562,571,10
V_0876,562,814,253
V_0877,563,568,6
V_0878,563,568,6
V_0879,563,569,7
V_0880,563,577,15
V_0881,563,610,48
V_0882,563,814,252
V_0883,563,564,2
V_0884,563,814,252
V_0885,563,573,11
V_0886,563,814,252
V_0887,564,566,3
V_0888,564,566,3
V_0889,564,564,1
V_0890,564,571,8
V_0891,564,814,251
V_0892,564,814,251
V_0893,564,573,10
V_0894,564,571,8
V_0895,564,569,6
V_0896,564,566,3
V_0897,564,567,4
V_0898,564,570,7
V_0899,564,814,251
V_0900,564,565,2
V_0901,564,571,8
V_0902,564,575,12
V_0903,564,578,15
V_0904,564,814,251
V_0905,565,814,250
V_0906,565,566,2
V_0909,565,565,1
V_0910,565,567,3
V_0911,565,680,116
V_0912,565,565,1
V_0913,565,573,9
V_0914,565,577,13
V_0915,565,576,12
V_0916,565,814,250
V_0917,565,571,7
V_0918,565,576,12
V_0919,565,588,24
V_0920,565,568,4
V_0921,565,567,3
V_0924,565,577,13
V_0925,565,814,250
V_0926,565,569,5
V_0927,565,571,7
V_0928,565,576,12
V_0929,565,573,9
V_0930,565,814,250
V_0931,565,569,5
V_0932,565,570,6
V_0933,565,571,7
V_0934,565,574,10
V_0935,565,569,5
V_0936,565,573,9
V_0937,566,576,11
V_0939,566,814,249
V_0940,566,585,20
V_0941,566,582,17
V_0942,566,814,249
V_0943,566,814,249
V_0944,566,573,8
V_0945,566,573,8
V_0946,566,814,249
V_0948,566,814,249
V_0950,566,814,249
V_0951,566,814,249
V_0952,566,569,4
V_0953,566,814,249
V_0954,566,751,186
V_0955,566,572,7
V_0956,566,571,6
V_0957,566,572,7
V_0958,566,577,12
V_0959,566,569,4
V_0960,566,566,1
V_0961,566,814,249
V_0962,566,576,11
V_0963,566,567,2
V_0964,566,814,249
V_0965,566,568,3
V_0966,566,573,8
V_0967,566,566,1
V_0968,566,575,10
V_0969,566,575,10
V_0970,566,566,1
V_0971,566,566,1
V_0972,566,567,2
V_0973,566,577,12
V_0974,566,569,4
V_0975,566,601,36
V_0976,566,569,4
V_0977,566,567,2
V_0978,566,580,15
V_0979,566,569,4
V_0980,566,577,12
V_0981,566,567,2
V_0982,566,567,2
V_0983,566,567,2
V_0984,566,567,2
V_0985,566,567,2
V_0986,567,568,2
V_0988,567,567,1
V_0989,567,574,8
V_0990,567,814,248
V_0991,567,574,8
V_0992,567,582,16
V_0993,567,568,2
V_0994,567,570,4
V_0995,567,569,3
V_0998,567,575,9
V_0999,567,587,21
V_1000,567,574,8
V_1001,567,572,6
V_1002,567,814,248
V_1003,567,578,12
V_1004,567,570,4
V_1005,567,568,2
V_1006,567,571,5
V_1007,567,567,1
V_1008,567,567,1
V_1009,567,576,10
V_1010,567,582,16
V_1011,567,574,8
V_1012,567,575,9
V_1013,567,568,2
V_1014,567,814,248
V_1015,567,573,7
V_1016,567,605,39
V_1017,567,568,2
V_1018,567,571,5
V_1019,567,567,1
V_1021,568,572,5
V_1023,568,575,8
V_1024,568,571,4
V_1025,568,568,1
V_1026,568,576,9
V_1027,568,573,6
V_1028,568,570,3
V_1029,568,569,2
V_1030,568,573,6
V_1031,568,814,247
V_1032,568,814,247
V_1033,568,589,22
V_1034,568,569,2
V_1035,568,814,247
V_1036,568,814,247
V_1037,568,569,2
V_1038,568,570,3
V_1039,568,814,247
V_1040,568,581,14
V_1041,568,572,5
V_1042,568,814,247
V_1043,568,814,247
V_1044,568,571,4
V_1045,568,569,2
V_1046,568,579,12
V_1047,568,814,247
V_1048,569,767,199
V_1049,569,814,246
V_1050,569,578,10
V_1051,569,573,5
V_1052,569,814,246
V_1053,569,571,3
V_1054,569,577,9
V_1055,569,814,246
V_1056,569,578,10
V_1057,569,585,17
V_1058,569,570,2
V_1060,569,571,3
V_1061,569,573,5
V_1062,569,579,11
V_1063,570,572,3
V_1064,570,584,15
V_1065,570,570,1
V_1066,570,581,12
V_1067,570,576,7
V_1068,571,575,5
V_1069,571,814,244
V_1070,571,587,17
V_1071,571,582,12
V_1072,571,574,4
V_1073,571,814,244
V_1074,571,572,2
V_1075,571,574,4
V_1076,572,577,6
V_1077,572,583,12
V_1078,572,814,243
V_1079,572,573,2
V_1080,572,583,12
V_1081,573,579,7
V_1082,573,573,1
V_1083,573,576,4
V_1084,573,591,19
V_1085,573,579,7
V_1086,573,573,1
V_1087,573,585,13
V_1088,574,814,241
V_1089,574,574,1
V_1090,574,587,14
V_1091,574,577,4
V_1092,574,602,29
V_1093,574,577,4
V_1094,574,814,241
V_1095,574,575,2
V_1096,574,575,2
V_1097,574,582,9
V_1098,575,577,3
V_1099,575,578,4
V_1100,575,579,5
V_1101,575,592,18
V_1102,575,582,8
V_1103,575,586,12
V_1104,575,575,1
V_1105,575,575,1
V_1106,575,585,11
V_1107,575,578,4
V_1108,575,648,74
V_1109,575,578,4
V_1110,575,585,11
V_1111,575,589,15
V_1112,575,576,2
V_1113,575,577,3
V_1115,576,814,239
V_1116,576,814,239
V_1117,576,597,22
V_1118,576,585,10
V_1119,576,814,239
V_1120,576,578,3
V_1121,576,588,13
V_1122,576,591,16
V_1123,576,814,239
V_1124,576,576,1
V_1125,576,602,27
V_1126,576,579,4
V_1127,576,814,239
V_1128,576,576,1
V_1129,576,578,3
V_1130,576,592,17
V_1131,577,578,2
V_1132,577,587,11
V_1133,577,581,5
V_1135,577,814,238
V_1136,577,814,238
V_1137,577,589,13
V_1138,577,584,8
V_1139,577,590,14
V_1140,577,581,5
V_1141,577,582,6
V_1142,577,814,238
V_1143,577,591,15
V_1144,577,814,238
V_1145,577,814,238
V_1146,577,580,4
V_1147,578,581,4
V_1149,578,596,19
V_1150,578,583,6
V_1151,578,582,5
V_1153,578,814,237
V_1154,578,601,24
V_1155,578,584,7
V_1156,578,585,8
V_1157,578,814,237
V_1158,578,814,237
V_1159,578,580,3
V_1160,578,582,5
V_1161,578,589,12
V_1162,578,814,237
V_1163,578,582,5
V_1164,578,814,237
V_1165,578,589,12
V_1166,578,585,8
V_1167,579,581,3
V_1168,579,581,3
V_1169,579,814,236
V_1170,579,601,23
V_1171,579,579,1
V_1172,579,579,1
V_1173,579,583,5
V_1174,579,581,3
V_1175,579,814,236
V_1176,579,586,8
V_1177,579,584,6
V_1178,579,582,4
V_1179,580,814,235
V_1180,580,604,25
V_1182,580,590,11
V_1183,580,580,1
V_1184,580,587,8
V_1185,580,814,235
V_1186,580,814,235
V_1187,581,582,2
V_1188,581,595,15
V_1189,581,594,14
V_1190,582,595,14
V_1191,582,588,7
